"Ship","Tow_number","Net_number","Taxon","Fish.ID","Image.Name","ImageJ.Number","Std_length_mm","Notes","Tow_net","cruise_no","fish_no","packet_no","lowest_taxa_final","taxa_code_final","taxa_code_final_method","taxa_code_original","taxa_updated_date","visual_ID_confidence","photo_ID","total_weight","gut_weight_full","gut_weight_empty","gut_dispensation","sex","sex_confidence","gonad_weight","head_collected","body_location","fish_comments","processed_date","processed_initials","taxa_code","Lowest_taxon","Date","TimeLocal","DayNight","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","MeshSize","DepthStart","DepthEnd","DepthInterval","VolFilt","Temp","Sal","FracBiom","VolFiltM3","split_correct_Cook","Family","estimated_weight","weight.to.use"
"Sarmiento","2",4,"Myctophidae","MOC2-Net4-Myc-1","SG2105_MOC2_Net4_ImageJ","1",14.2695,NA,"2 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,100,0,100,NA,NA,NA,NA,7943,NA,"Myctophidae",0.0310540801388648,0.0310540801388648
"Sarmiento","2",4,"Myctophidae","MOC2-Net4-Myc-2","SG2105_MOC2_Net4_ImageJ","2",24.906,NA,"2 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,100,0,100,NA,NA,NA,NA,7943,NA,"Myctophidae",0.17558992243236,0.17558992243236
"Sarmiento","2",4,"Myctophidae","MOC2-Net4-Myc-3","SG2105_MOC2_Net4_ImageJ","3",22.449,NA,"2 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,100,0,100,NA,NA,NA,NA,7943,NA,"Myctophidae",0.127116137805727,0.127116137805727
"Sarmiento","2",4,"Myctophidae","MOC2-Net4-Myc-4","SG2105_MOC2_Net4_ImageJ","4",24.4335,NA,"2 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,100,0,100,NA,NA,NA,NA,7943,NA,"Myctophidae",0.165434729684245,0.165434729684245
"Sarmiento","2",4,"Myctophidae","MOC2-Net4-Myc-5","SG2105_MOC2_Net4_ImageJ","5",24.087,NA,"2 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,100,0,100,NA,NA,NA,NA,7943,NA,"Myctophidae",0.158246176513289,0.158246176513289
"Sarmiento","2",4,"Myctophidae","MOC2-Net4-Myc-6","SG2105_MOC2_Net4_ImageJ","6",26.166,NA,"2 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,100,0,100,NA,NA,NA,NA,7943,NA,"Myctophidae",0.204722229748169,0.204722229748169
"Sarmiento","2",4,"Myctophidae","MOC2-Net4-Myc-7","SG2105_MOC2_Net4_ImageJ","7",24.192,NA,"2 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,100,0,100,NA,NA,NA,NA,7943,NA,"Myctophidae",0.160401669188868,0.160401669188868
"Sarmiento","3",1,"Gonostomatidae","MOC3-Net1-Gon-1","SG2105_MOC3_Net1_ImageJ","2",30.408,NA,"3 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/7/21","10:49:00","Day",48.933708,-14.935774,48.905158,-14.919339,333,500,300,200,NA,NA,NA,NA,6152,NA,"Gonostomatidae",0.247296081856142,0.247296081856142
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-1","SG2105_MOC4_Net1_ImageJ","1",32.2875,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.295931333039848,0.295931333039848
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-3","SG2105_MOC4_Net1_ImageJ","3",13.839,"broken body fragment","4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.0234285994180468,0.0234285994180468
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-4","SG2105_MOC4_Net1_ImageJ","4",11.655,"broken body fragment","4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.0140102003918201,0.0140102003918201
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-5","SG2105_MOC4_Net1_ImageJ","5",30.87,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.258715128070532,0.258715128070532
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-7","SG2105_MOC4_Net1_ImageJ","7",28.203,"damaged head, full body ","4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.197400346186966,0.197400346186966
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-8","SG2105_MOC4_Net1_ImageJ","8",22.176,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.0961118544346929,0.0961118544346929
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-9","SG2105_MOC4_Net1_ImageJ","9",30.135,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.240708934617253,0.240708934617253
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-10","SG2105_MOC4_Net1_ImageJ","10",22.68,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.102800275250548,0.102800275250548
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-11","SG2105_MOC4_Net1_ImageJ","11",23.1945,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.109940597856089,0.109940597856089
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-12","SG2105_MOC4_Net1_ImageJ","12",21.3885,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.0862518389909658,0.0862518389909658
"Sarmiento","4",1,"Gonostomatidae","MOC4-Net1-Gon-13","SG2105_MOC4_Net1_ImageJ","13",20.79,NA,"4 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1000,500,500,NA,NA,NA,NA,33382,NA,"Gonostomatidae",0.0792263028014578,0.0792263028014578
"Sarmiento","4",3,"Myctophidae","MOC4-Net3-Myc-1","SG2105_MOC4_Net3_ImageJ","1",11.9595,NA,"4 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,300,100,200,NA,NA,NA,NA,11011,NA,"Myctophidae",0.0179294692213851,0.0179294692213851
"Sarmiento","4",3,"Myctophidae","MOC4-Net3-Myc-2","SG2105_MOC4_Net3_ImageJ","2",13.566,NA,"4 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,300,100,200,NA,NA,NA,NA,11011,NA,"Myctophidae",0.0265353427300748,0.0265353427300748
"Sarmiento","4",3,"Myctophidae","MOC4-Net3-Myc-3","SG2105_MOC4_Net3_ImageJ","3",13.0935,NA,"4 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,300,100,200,NA,NA,NA,NA,11011,NA,"Myctophidae",0.023764978854181,0.023764978854181
"Sarmiento","4",4,"Gonostomatidae","MOC4-Net4-Gon-1","SG2105_MOC4_Net4_ImageJ","1",18.6165,"body broken, head present","4 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,100,0,100,NA,NA,NA,NA,7325,NA,"Gonostomatidae",0.0569253371624921,0.0569253371624921
"Sarmiento","4",4,"Gonostomatidae","MOC4-Net4-Gon-2","SG2105_MOC4_Net4_ImageJ","2",17.2305,"body broken, head present","4 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,100,0,100,NA,NA,NA,NA,7325,NA,"Gonostomatidae",0.0451563939683699,0.0451563939683699
"Sarmiento","5",1,"Gonostomatidae","MOC5-Net1-Gon-1","SG2105_MOC5_Net1_ImageJ","1",28.917,NA,"5 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,1000,500,500,NA,NA,NA,NA,20594,NA,"Gonostomatidae",0.21274164071965,0.21274164071965
"Sarmiento","5",1,"Gonostomatidae","MOC5-Net1-Gon-2","SG2105_MOC5_Net1_ImageJ","2",29.63625,"headless","5 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,1000,500,500,NA,NA,NA,NA,20594,NA,"Gonostomatidae",0.228978421585961,0.228978421585961
"Sarmiento","5",1,"Gonostomatidae","MOC5-Net1-Gon-3","SG2105_MOC5_Net1_ImageJ","3",20.9475,NA,"5 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,1000,500,500,NA,NA,NA,NA,20594,NA,"Gonostomatidae",0.0810366786232903,0.0810366786232903
"Sarmiento","5",3,"Sternoptychidae","MOC5-Net3-Ste-1","SG2105_MOC5_Net3_ImageJ","1",13.713,NA,"5 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,300,100,200,NA,NA,NA,NA,10917,NA,"Sternoptychidae",0.0369267874105465,0.0369267874105465
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-1","SG2105_MOC6_Net1_ImageJ","1",27.531,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.18365158661468,0.18365158661468
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-2","SG2105_MOC6_Net1_ImageJ","2",20.4645,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.0755706237221282,0.0755706237221282
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-3","SG2105_MOC6_Net1_ImageJ","3",20.118,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.0718044337338834,0.0718044337338834
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-4","SG2105_MOC6_Net1_ImageJ","4",25.0215,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.137953667049609,0.137953667049609
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-5","SG2105_MOC6_Net1_ImageJ","5",21.609,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.0889412039627032,0.0889412039627032
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-6","SG2105_MOC6_Net1_ImageJ","6",21.84,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.091817924440524,0.091817924440524
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-7","SG2105_MOC6_Net1_ImageJ","7",20.1705,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.0723668434347463,0.0723668434347463
"Sarmiento","6",1,"Gonostomatidae","MOC6-Net1-Gon-8","SG2105_MOC6_Net1_ImageJ","8",35.49,NA,"6 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1000,500,500,NA,NA,NA,NA,25437,NA,"Gonostomatidae",0.392775125785327,0.392775125785327
"Sarmiento","6",2,"Sternoptychidae","MOC6-Net2-Ste-1","SG2105_MOC6_Net2_ImageJ","1",30.66,NA,"6 _ 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,500,300,200,NA,NA,NA,NA,10378,NA,"Sternoptychidae",0.400860754784642,0.400860754784642
"Sarmiento","6",2,"Sternoptychidae","MOC6-Net2-Ste-2","SG2105_MOC6_Net2_ImageJ","2",20.6745,NA,"6 _ 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,500,300,200,NA,NA,NA,NA,10378,NA,"Sternoptychidae",0.124676834663345,0.124676834663345
"Sarmiento","6",2,"Myctophidae","MOC6-Net2-Myc-1","SG2105_MOC6_Net2_ImageJ","3",14.385,NA,"6 _ 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,500,300,200,NA,NA,NA,NA,10378,NA,"Myctophidae",0.0318425895291603,0.0318425895291603
"Sarmiento","6",2,"Myctophidae","MOC6-Net2-Myc-2","SG2105_MOC6_Net2_ImageJ","4",13.482,NA,"6 _ 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,500,300,200,NA,NA,NA,NA,10378,NA,"Myctophidae",0.0260276249575961,0.0260276249575961
"Sarmiento","6",2,"Myctophidae","MOC6-Net2-Myc-3","SG2105_MOC6_Net2_ImageJ","5",11.7075,NA,"6 _ 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,500,300,200,NA,NA,NA,NA,10378,NA,"Myctophidae",0.0167803174091632,0.0167803174091632
"Sarmiento","6",3,"Sternoptychidae","MOC6-Net3-Ste-1","SG2105_MOC6_Net3_ImageJ","1",13.9335,NA,"6 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,300,100,200,NA,NA,NA,NA,10612,NA,"Sternoptychidae",0.0387144983938863,0.0387144983938863
"Sarmiento","6",4,"Myctophidae","MOC6-Net4-Myc-1","SG2105_MOC6_Net4_ImageJ","4",14.028,NA,"6 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,100,0,100,NA,NA,NA,NA,8374,NA,"Myctophidae",0.0294483919648167,0.0294483919648167
"Sarmiento","6",4,"Myctophidae","MOC6-Net4-Myc-2","SG2105_MOC6_Net4_ImageJ","5",14.8365,NA,"6 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,100,0,100,NA,NA,NA,NA,8374,NA,"Myctophidae",0.0350553535761214,0.0350553535761214
"Sarmiento","6",4,"Myctophidae","MOC6-Net4-Myc-3","SG2105_MOC6_Net4_ImageJ","6",10.647,NA,"6 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,100,0,100,NA,NA,NA,NA,8374,NA,"Myctophidae",0.0124893139800584,0.0124893139800584
"Sarmiento","6",4,"Myctophidae","MOC6-Net4-Myc-4","SG2105_MOC6_Net4_ImageJ","7",29.2005,NA,"6 _ 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,100,0,100,NA,NA,NA,NA,8374,NA,"Myctophidae",0.287993556843642,0.287993556843642
