Tow_number,Net_number,Taxon,Std_length_mm,Ship,DayNight
11,10,myctophid,19.55,Cook,Night
11,10,myctophid,36.72,Cook,Night
11,10,myctophid,22.66,Cook,Night
11,10,myctophid,37.77,Cook,Night
11,10,myctophid,26.21,Cook,Night
11,10,myctophid,27.33,Cook,Night
11,10,myctophid,26.9,Cook,Night
11,10,myctophid,35.09,Cook,Night
11,10,myctophid,26.65,Cook,Night
11,10,myctophid,27.72,Cook,Night
11,10,myctophid,27.66,Cook,Night
11,10,myctophid,27.36,Cook,Night
47,2,bristlemouth,42.12,Cook,Day
47,2,bristlemouth,40.48,Cook,Day
47,2,bristlemouth,33.88,Cook,Day
47,2,bristlemouth,33.99,Cook,Day
47,2,bristlemouth,43.93,Cook,Day
47,2,bristlemouth,48.32,Cook,Day
47,2,bristlemouth,31.37,Cook,Day
47,2,bristlemouth,43.76,Cook,Day
47,2,bristlemouth,36.1,Cook,Day
47,2,bristlemouth,31.57,Cook,Day
47,2,bristlemouth,42.62,Cook,Day
47,2,bristlemouth,33.63,Cook,Day
47,2,bristlemouth,63.63,Cook,Day
47,2,bristlemouth,47.86,Cook,Day
47,3,viperfish?,34.64,Cook,Day
47,3,viperfish?,37.44,Cook,Day
47,3,myctophid,19.65,Cook,Day
47,3,viperfish,144.23,Cook,Day
47,3,bristlemouth,33.72,Cook,Day
47,3,bristlemouth,29.89,Cook,Day
47,3,bristlemouth,34.17,Cook,Day
47,3,bristlemouth,31.65,Cook,Day
47,3,bristlemouth,33.4,Cook,Day
47,3,bristlemouth,37.35,Cook,Day
47,4,myctophid,32.85,Cook,Day
47,4,myctophid,37.4,Cook,Day
47,4,bristlemouth,28.82,Cook,Day
47,4,bristlemouth,23.92,Cook,Day
47,5,hatchetfish,18.73,Cook,Day
47,5,hatchetfish,19.8,Cook,Day
47,5,myctophid,23.29,Cook,Day
47,5,myctophid,22.89,Cook,Day
47,5,unknown,13.99,Cook,Day
47,5,unknown,12.41,Cook,Day
48,2,bristlemouth,38.38,Cook,Night
48,2,bristlemouth,39.78,Cook,Night
48,2,bristlemouth,30.27,Cook,Night
48,2,bristlemouth,34.16,Cook,Night
48,3,bristlemouth,31.8,Cook,Night
48,3,bristlemouth,34.9,Cook,Night
48,3,bristlemouth,41.53,Cook,Night
48,3,bristlemouth,38.72,Cook,Night
48,6,hatchetfish,15.99,Cook,Night
48,8,hatchetfish,27.25,Cook,Night
48,9,myctophid,25.15,Cook,Night
48,10,myctophid,27.4,Cook,Night
48,10,myctophid,25.81,Cook,Night
48,10,myctophid,16.21,Cook,Night
48,10,myctophid,31.95,Cook,Night
48,10,myctophid,35.91,Cook,Night
48,10,myctophid,28,Cook,Night
48,10,myctophid,27.47,Cook,Night
48,10,myctophid,25.71,Cook,Night
48,10,myctophid,25.5,Cook,Night
89,2,bristlemouth,65.37,Cook,Day
89,2,bristlemouth,66.13,Cook,Day
89,2,bristlemouth,48.29,Cook,Day
89,2,bristlemouth,52.81,Cook,Day
89,2,bristlemouth,34.37,Cook,Day
89,2,bristlemouth,29.53,Cook,Day
89,2,bristlemouth,25.41,Cook,Day
89,3,bristlemouth,30.06,Cook,Day
89,3,bristlemouth,35.2,Cook,Day
89,3,bristlemouth,37.75,Cook,Day
89,3,bristlemouth,34.25,Cook,Day
89,3,bristlemouth,28.12,Cook,Day
89,3,bristlemouth,46.07,Cook,Day
89,3,bristlemouth,33.54,Cook,Day
89,3,bristlemouth,36.45,Cook,Day
89,3,bristlemouth,37.21,Cook,Day
89,3,bristlemouth,36.42,Cook,Day
89,3,unknown,23.27,Cook,Day
89,4,myctophid,43.32,Cook,Day
89,4,myctophid,33.9,Cook,Day
89,4,myctophid,16.68,Cook,Day
89,4,myctophid,16.29,Cook,Day
89,4,myctophid,15.11,Cook,Day
89,4,myctophid,19.47,Cook,Day
89,4,myctophid,15.31,Cook,Day
89,4,bristlemouth,23.2,Cook,Day
89,4,bristlemouth,23.26,Cook,Day
89,5,hatchetfish,27.38,Cook,Day
89,5,hatchetfish,25.68,Cook,Day
89,5,hatchetfish,23.11,Cook,Day
89,5,myctophid,29.01,Cook,Day
89,5,myctophid,29.41,Cook,Day
89,6,hatchetfish,24.65,Cook,Day
90,2,bristlemouth,45.51,Cook,Night
90,2,bristlemouth,34.25,Cook,Night
90,2,bristlemouth,32.06,Cook,Night
90,2,bristlemouth,32.63,Cook,Night
90,2,bristlemouth,38.77,Cook,Night
90,2,myctophid,50.74,Cook,Night
90,2,bristlemouth,40.26,Cook,Night
90,3,bristlemouth,31.88,Cook,Night
90,3,unknown,19.28,Cook,Night
90,3,bristlemouth,22.13,Cook,Night
90,3,bristlemouth,50.32,Cook,Night
90,4,melamphid,37.41,Cook,Night
90,6,hatchetfish,19.25,Cook,Night
90,7,hatchetfish,26.79,Cook,Night
90,10,bristlemouth,42.18,Cook,Night
90,10,bristlemouth,28.86,Cook,Night
90,10,myctophid,12.38,Cook,Night
90,10,myctophid,17.7,Cook,Night
90,10,myctophid,31.41,Cook,Night
90,10,myctophid,32.41,Cook,Night
90,10,myctophid,34.34,Cook,Night
