cruise_no,Ship,Tow_number,Net_number,fish_no,packet_no,lowest_taxa_final,taxa_code_final,taxa_code_final_method,taxa_code_original,taxa_updated_date,visual_ID_confidence,photo_ID,total_length,fork_length,Std_length_mm,total_weight,gut_weight_full,gut_weight_empty,gut_dispensation,sex,sex_confidence,gonad_weight,head_collected,body_location,fish_comments,processed_date,processed_initials
SG2105,Sarmiento,8,4,19,110,Symbolophorus veranyi,SYVE,genetic,SYSP,20230725,M,IMG_6942,63,,50,1.9002,,,,,,,Y,not retained,Used for resipirometry. ID Notes: pretty sure SAO form right angle,20210720,JC
SG2105,Sarmiento,8,3,20,111,Themisto sp.,THSP,genetic,AMPH,20230725,,IMG_6946,,,13,0.0638,,,,,,,Y,not retained,Used for resipirometry. Genetic ID listed as Themisto sp./T. compressa,20210728,JC
SG2105,Sarmiento,8,3,21,112,Amphipoda,AMPH,visual,AMPH,,,IMG_6947,,,17,0.1464,,,,,,,Y,not retained,Used for resipirometry. ,20210728,JC
SG2105,Sarmiento,8,3,22,113,Amphipoda,AMPH,visual,AMPH,,,IMG_6948,,,17,0.0988,,,,,,,Y,not retained,Used for resipirometry. ,20210728,JC
SG2105,Sarmiento,9,4,23,121,Benthosema glaciale,BEGL,genetic,MYCT,20230725,,IMG_6963,32,,28,0.2737,,,,,,,Y,not retained,Used for resipirometry. ,20210722,JC
SG2105,Sarmiento,9,4,24,123,Benthosema glaciale,BEGL,genetic,MYCT,20230725,,IMG_6966,,,43,1.1004,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged. ID Notes: seems to be same species as fish#3,20210722,JC
SG2105,Sarmiento,9,4,25,124,Benthosema glaciale,BEGL,genetic,BEGL,20230725,M,IMG_6968,42,,35,0.5708,,,,,,,Y,not retained,Used for resipirometry. ,20210722,JC
SG2105,Sarmiento,9,0,26,125,Amphipoda,AMPH,visual,AMPH,,,IMG_7004,,,16,0.1218,,,,,,,Y,not retained,Used for resipirometry. ,20210728,JC
SG2105,Sarmiento,9,0,27,126,Amphipoda,AMPH,visual,AMPH,,,SMTF4729,,,18,0.206,,,,,,,Y,not retained,Used for resipirometry. ,20210729,JC
SG2105,Sarmiento,9,0,28,127,Amphipoda,AMPH,visual,AMPH,,,IMG_7005,,,15,0.114,,,,,,,Y,not retained,Used for resipirometry. ,20210729,JC
SG2105,Sarmiento,9,0,29,128,Themisto sp.,THSP,genetic,AMPH,20230725,,IMG_6995,,,16,0.1099,,,,,,,Y,not retained,Used for resipirometry. Genetic ID listed as Themisto sp./T. compressa,20210729,JC
SG2105,Sarmiento,9,0,30,129,Themisto sp.,THSP,genetic,AMPH,20230725,,IMG_6999,,,18,0.1396,,,,,,,Y,not retained,Used for resipirometry. ,20210729,JC
SG2105,Sarmiento,9,0,31,130,Amphipoda,AMPH,visual,AMPH,,,IMG_6997,,,18,0.1804,,,,,,,Y,not retained,Used for resipirometry. ,20210729,JC
SG2105,Sarmiento,2,2,32,24,Protomyctophum arcticum,PRAR,genetic,PRAR,20230725,M,SG2105_ORG32_MOC2_NET2,,,32,0.5015,,,,,,,Y,not retained,Used for resipirometry. Missing caudal fin but vertebrae do not appear to be truncated (full standard length).,20210708,JC
SG2105,Sarmiento,2,3,33,26,Benthosema glaciale,BEGL,genetic,PRAR,20230725,L,SG2105_ORG33_MOC2_NET3,24,,22,0.096,,,,,,,Y,not retained,Used for resipirometry. ,20210708,JC
SG2105,Sarmiento,2,4,34,35,Benthosema glaciale,BEGL,genetic,BEGL,20230725,L,SG2105_ORG34_MOC2_NET4,42,,39,0.7034,,,,,,,Y,not retained,Used for resipirometry. ,20210711,JC
SG2105,Sarmiento,2,4,35,35,Benthosema glaciale,BEGL,genetic,BEGL,20230725,L,SG2105_ORG35_MOC2_NET4,41,,37,0.6342,,,,,,,Y,not retained,Used for resipirometry. ,20210711,JC
SG2105,Sarmiento,8,3,36,102,Argyropelecus olfersii,AROL,genetic,AROL,20230725,M,SG2105_ORG36_MOC8_NET3,31,,27,0.5202,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin broke off but found it in packer, added for measurements. ID Notes: anterior postabdominal spine curved forward",20210712,JC
SG2105,Sarmiento,8,3,37,102,Argyropelecus hemigymnus,ARHE,visual,ARHE,,,SG2105_ORG37_MOC8_NET3,27,,24,0.2996,,,,,,,Y,not retained,Used for resipirometry. Caudal fin rays broken. ID Notes: can't see postab spine in image but overall appearance like ARHE,20210712,JC
SG2105,Sarmiento,6,4,38,79,Cyclothone braueri,CYBR,genetic,CYSP,20230725,,SG2105_ORG38_MOC6_NET4,36,,30,0.16,,,,,,,Y,not retained,Used for resipirometry. ,20210712,JC
SG2105,Sarmiento,8,1,39,98,Robustosergia robusta,RORO,visual,RORO,,M,SG2105_ORG39_MOC8_NET1,,,29,6.5736,,,,,,,Y,not retained,Used for resipirometry.,20210712,JC
SG2105,Sarmiento,8,3,40,109,Amphipoda,AMPH,visual,AMPH,,,SG2105_ORG40_MOC8_NET3,,,24,0.5093,,,,,,,Y,not retained,Used for resipirometry. ,20210712,JC
SG2105,Sarmiento,8,4,41,106,Myctophum punctatum,MYPU,genetic,DISU,20230725,M,SG2105_ORG41_MOC8_NET4,103,,90,12.32,,,,,,,Y,not retained,"Used for resipirometry. Very large Myctophid, used the warmth from my hands to melt ice on the surface. Caudal fin broke off, but still present and included in TL. Large amphipods in stomach, stomach burst. ",20210715,JC
SG2105,Sarmiento,6,4,42,80,Benthosema glaciale,BEGL,genetic,BEGL,20230725,L,SG2105_ORG42_MOC6_NET4,36,,30,0.531,,,,,,,Y,not retained,Used for resipirometry. ,20210715,JC
SG2105,Sarmiento,6,4,43,79,Cyclothone braueri,CYBR,genetic,CYSP,20230725,,SG2105_ORG43_MOC6_NET4,41,,34,0.2116,,,,,,,Y,not retained,Used for resipirometry. ,20210715,JC
SG2105,Sarmiento,8,3,44,109,Amphipoda,AMPH,visual,AMPH,,,SG2105_ORG44_MOC8_NET3,,,14,0.0657,,,,,,,Y,not retained,Used for resipirometry. ,20210715,JC
SG2105,Sarmiento,8,1,45,98,Acanthephyra sp.,ANSP,visual,ANSP,,M,SG2105_ORG45_MOC8_NET1,,,17,3.703,,,,,,,Y,not retained,Used for resipirometry. ID Notes: assumption based on rostral spine,20210715,JC
SG2105,Sarmiento,7,2,46,86,Benthosema glaciale,BEGL,genetic,BEGL,20230725,L,SG2105_ORG46_MOC7_NET2,30,,25,0.2322,,,,,,,Y,not retained,Used for resipirometry. ,20210716,JC
SG2105,Sarmiento,7,2,47,86,Benthosema glaciale,BEGL,genetic,BEGL,20230725,L,SG2105_ORG47_MOC7_NET2,,,27,0.2274,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin rays damaged, no TL recorded",20210716,JC
SG2105,Sarmiento,5,1,48,63,Benthosema glaciale,BEGL,genetic,MYCT,20230725,,SG2105_ORG48_MOC5_NET1,,,23,0.1322,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin missing, no TL recorded",20210716,JC
SG2105,Sarmiento,8,1,49,97,Poromitra megalops,POME,genetic,MELA,20230725,,SG2105_ORG49_MOC8_NET1,31,,26,0.3142,,,,,,,Y,not retained,Used for resipirometry. ,20210716,JC
SG2105,Sarmiento,9,1,50,114,Lampanyctus macdonaldi,LAMA,genetic,MYCT,20230725,,SG2105_ORG50_MOC9_NET1,35,,29,0.1355,,,,,,,Y,not retained,Used for resipirometry. ID Notes: this looks more like Cyclothone to LL but can't assess well enough from image,20210716,JC
SG2105,Sarmiento,9,1,51,114,Lampanyctus macdonaldi,LAMA,genetic,MYCT,20230725,,SG2105_ORG51_MOC9_NET1,,,28,0.1978,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin missing. Black pointy snout. ID Notes: Looks to be cyclothone, not myctophid",20210719,JC
SG2105,Sarmiento,9,1,52,114,Nannobrachium atrum,NAAT,genetic,LASP,20230725,M,SG2105_ORG52_MOC9_NET1,113,,106,10.4363,,,,,,,Y,not retained,"Used for resipirometry. Fish broke in half in the freezer, but could piece together for measurement. Genetic ID as lampanyctus ater (invalid: Nannobrachium atrum)",20210719,JC
SG2105,Sarmiento,5,1,53,63,Benthosema glaciale,BEGL,genetic,MYCT,20230725,,SG2105_ORG53_MOC5_NET1,,,24,0.1704,,,,,,,Y,not retained,Used for resipirometry. Caudal fin missing . ID Notes: can't see well in image but appears to be BEGL,20210719,JC
SG2105,Sarmiento,8,1,54,97,Lampanyctus macdonaldi,LAMA,genetic,LASP,20230725,,SG2105_ORG54_MOC8_NET1,38,,32,0.1875,,,,,,,Y,not retained,Used for resipirometry. ID Notes: maybe nannobrachium,20210720,JC
SG2105,Sarmiento,4,1,55,43,Lampanyctus sp.,LASP,genetic,LASP,20230725,M,SG2105_ORG55_MOC4_NET1,169,,145,29.3514,,,,,,,Y,not retained,"Used for resipirometry. Took out early to that, very large fish. Ripe ovaries. ID NOTES: maybe Nannobrachium",20210720,JC
SG2105,Sarmiento,8,3,56,102,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,M,SG2105_ORG56_MOC8_NET3,,,27,0.4611,,,,,,,Y,not retained,"Used for resipirometry. Damaged caudal fin rays, ovaries? ID NOTES: post ab spine broken but pretty confident",20210731,JC
SG2105,Sarmiento,8,3,57,102,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,M,SG2105_ORG57_MOC8_NET3,34,,28,0.5161,,,,,,,Y,not retained,Used for resipirometry. Ovaries? ID NOTES: maybe A. hemigymnus,20210731,JC
SG2105,Sarmiento,7,2,58,87,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,M,SG2105_ORG58_MOC7_NET2,,,25,0.4281,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged. ID NOTES: maybe A. hemigymnus,20210802,JC
SG2105,Sarmiento,7,2,59,87,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,H,SG2105_ORG59_MOC7_NET2,29,,23,0.267,,,,,,,Y,not retained,Used for resipirometry. ID NOTES: obvious postab spine,20210802,JC
SG2105,Sarmiento,7,2,60,87,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,H,SG2105_ORG60_MOC7_NET2,,,29,0.4908,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged. ID NOTES: obvious postab spine,20210802,JC
SG2105,Sarmiento,7,2,61,87,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,M,SG2105_ORG61_MOC7_NET2,,,25,0.3046,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged. ID NOTES: broken spine, but pretty confident",20210802,JC
SG2105,Sarmiento,7,2,62,87,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,H,SG2105_ORG62_MOC7_NET2,40,,33,0.8271,,,,,,,Y,not retained,Used for resipirometry. Ovaries? ID NOTES: maybe A. hemigymnus,20210802,JC
SG2105,Sarmiento,7,2,63,87,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,M,SG2105_ORG63_MOC7_NET2,,,26,0.3358,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, ovaries? ID NOTES: broken spine but pretty confident",20210803,JC
SG2105,Sarmiento,7,2,64,87,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,H,SG2105_ORG64_MOC7_NET2,34,,29,0.5618,,,,,,,Y,not retained,Used for resipirometry. Ovaries? ID NOTES: maybe A. hemigymnus,20210803,JC
SG2105,Sarmiento,7,2,65,87,Argyropelecus olfersii,AROL,genetic,ARSP,20230725,,SG2105_ORG65_MOC7_NET2,21,,17,0.2016,,,,,,,Y,not retained,"Used for resipirometry. ID NOTES: 2 postab spines appear to be straight down, but posterior is broken; can't asess preopercular spines to distinguish between aculeatus and lychnus",20210803,JC
SG2105,Sarmiento,6,2,66,77,Argyropelecus hemigymnus,ARHE,genetic,ARSP,20230725,,SG2105_ORG66_MOC6_NET2,34,,28,0.3986,,,,,,,Y,not retained,Used for resipirometry. Ovaries? ID NOTES: maybe A. hemigymnus but can't assess postab spines,20210803,JC
SG2105,Sarmiento,6,2,67,77,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,M,SG2105_ORG67_MOC6_NET2,,,33,0.6018,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged. Large ovaries? not much in gut.  ID NOTES: maybe A. hemigymnus,20210803,JC
SG2105,Sarmiento,6,2,68,77,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,M,SG2105_ORG68_MOC6_NET2,31,,27,0.3394,,,,,,,Y,not retained,Used for resipirometry. ID NOTES: maybe A. hemigymnus,20210804,JC
SG2105,Sarmiento,8,3,69,102,Argyropelecus hemigymnus,ARHE,genetic,ARHE,20230725,H,SG2105_ORG69_MOC8_NET3,,,34,0.7329,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged. Large ovaries? not much in gut. ID NOTES: maybe A. hemigymnus,20210804,JC
SG2105,Sarmiento,5,3,70,66,Argyropelecus olfersii,AROL,genetic,AROL,20230725,L,SG2105_ORG70_MOC5_NET3,30,,24,0.3576,,,,,,,Y,not retained,"Used for resipirometry. Fish was quite squished/folded from flash freezing. Was able to flatten it out. ID NOTES: Maybe A. aculeatus. Anterior postab spine slightly curved forward, so might be either",20210804,JC
SG2105,Sarmiento,9,3,71,117,Argyropelecus olfersii,AROL,genetic,AROL,20230725,L,SG2105_ORG71_MOC9_NET3,,,42,2.1565,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, ovaries?",20210804,JC
SG2105,Sarmiento,9,3,72,117,Argyropelecus olfersii,AROL,genetic,ARAC,20230725,L,SG2105_ORG72_MOC9_NET3,30,,26,0.48,,,,,,,Y,not retained,Used for resipirometry. Fish ripped open from flash freezing I assume. ID Notes: likely aculeatus but not sure if postab spines broken,20210804,JC
SG2105,Sarmiento,9,3,73,117,Argyropelecus olfersii,AROL,genetic,ARSP,20230725,,SG2105_ORG73_MOC9_NET3,,,22,0.3995,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin missing, body cavity ripped open from flash freezing, very full stomach",20210805,JC
SG2105,Sarmiento,5,1,74,62,Cyclothone braueri,CYBR,genetic,CYSP,20230725,,SG2105_ORG74_MOC5_NET1,,,30,0.1396,,,,,,,Y,not retained,"Used for resipirometry. Broken in half, caudal fin missing",20210805,JC
SG2105,Sarmiento,5,1,75,62,Cyclothone braueri,CYBR,genetic,CYSP,20230725,,SG2105_ORG75_MOC5_NET1,,,29,0.1459,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin missing, had something that looked like large gonads, but could not tell",20210805,JC
SG2105,Sarmiento,5,1,76,62,Cyclothone sp.,CYSP,visual,CYSP,,,SG2105_ORG76_MOC5_NET1,40,,35,0.1816,,,,,,,Y,not retained,Used for resipirometry. ,20210805,JC
SG2105,Sarmiento,5,1,77,62,Cyclothone braueri,CYBR,genetic,CYSP,20230725,,SG2105_ORG77_MOC5_NET1,,,19,0.0526,,,,,,,Y,not retained,Used for resipirometry. Caudal fin missing,20210805,JC
SG2105,Sarmiento,5,1,78,62,Gonostomatidae,GONO,visual,GONO,,,,,,45,0.9504,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged. Fish was frozen folded in half, and ripped when thawed. No picture",20210806,JC
SG2105,Sarmiento,5,1,79,62,Cyclothone braueri,CYBR,genetic,CYSP,20230725,,SG2105_ORG79_MOC5_NET1,34,,29,0.1458,,,,,,,Y,not retained,Used for resipirometry. ID Notes: maybe C. microdon,20210806,JC
SG2105,Sarmiento,5,1,80,62,Cyclothone braueri,CYSP,genetic,CYSP,20230725,,SG2105_ORG80_MOC5_NET1,,,36,0.1762,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged,20210806,JC
SG2105,Sarmiento,5,1,81,62,Cyclothone sp.,CYSP,visual,CYSP,,,SG2105_ORG81_MOC5_NET1,,,32,0.1279,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged,20210806,JC
SG2105,Sarmiento,5,1,82,62,Cyclothone sp.,CYSP,visual,CYSP,,,SG2105_ORG82_MOC5_NET1,,,32,0.1538,,,,,,,Y,not retained,Used for resipirometry. Caudal fin damaged,20210806,JC
SG2105,Sarmiento,4,4,83,52,Cyclothone braueri,CYSP,genetic,CYSP,20230725,,SG2105_ORG83_MOC4_NET4,35,,30,0.152,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin broken off, but present and able to piece together for measurement. ID NOTES: maybe C. microdon",20210808,JC
SG2105,Sarmiento,4,4,84,52,Cyclothone pallida,CYPA,genetic,CYSP,20230725,,SG2105_ORG84_MOC4_NET4,52,,45,0.4034,,,,,,,Y,not retained,Used for resipirometry. Black one. ID NOTES: maybe C. microdon,20210808,JC
SG2105,Sarmiento,9,1,85,115,Cyclothone sp.,CYSP,visual,CYSP,,,SG2105_ORG85_MOC9_NET1,,,34,0.2003,,,,,,,Y,not retained,Used for resipirometry. Used for resipirometry. Caudal fin damaged,20210808,JC
SG2105,Sarmiento,9,1,86,115,Cyclothone microdon,CYMI,genetic,CYSP,20230725,,SG2105_ORG86_MOC9_NET1,40,,35,0.2095,,,,,,,Y,not retained,Used for resipirometry. ,20210808,JC
SG2105,Sarmiento,9,1,87,115,Cyclothone sp.,CYSP,visual,CYSP,,,SG2105_ORG87_MOC9_NET1,,,59,0.9818,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, black one",20210808,JC
SG2105,Sarmiento,8,1,88,99,Sigmops elongatus,SIEL,genetic,SIEL,20230725,,SG2105_ORG88_MOC8_NET1,,,180,25.405,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, huge bristlemouth.",20210809,JC
SG2105,Sarmiento,7,1,89,84,Cyclothone sp.,CYSP,visual,CYSP,,,SG2105_ORG89_MOC7_NET1,,,62,1.2205,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, black bristlemouth. ID Notes: maybe C. microdon",20210809,JC
SG2105,Sarmiento,5,1,90,70,Cyclothone sp.,CYSP,visual,CYSP,,,SG2105_ORG90_MOC5_NET1,,,52,0.6095,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, black bristlemouth. ID Notes: maybe C. microdon",20210809,JC
SG2105,Sarmiento,9,1,91,115,Cyclothone braueri,CYSP,genetic,CYSP,20230725,,SG2105_ORG91_MOC9_NET1,,,32,0.182,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, Cyclothone",20210809,JC
SG2105,Sarmiento,8,3,92,109,Amphipoda,AMPH,visual,AMPH,,,SG2105_ORG92_MOC8_NET3,,,14,0.0977,,,,,,,Y,not retained,Used for resipirometry. ,20210809,JC
SG2105,Sarmiento,8,3,93,109,Amphipoda,AMPH,visual,AMPH,,,SG2105_ORG93_MOC8_NET3,,,13,0.0612,,,,,,,Y,not retained,Used for resipirometry. ,20210810,JC
SG2105,Sarmiento,8,3,94,109,Amphipoda,AMPH,visual,AMPH,,,SG2105_ORG94_MOC8_NET3,,,14,0.065,,,,,,,Y,not retained,Used for resipirometry. ,20210810,JC
SG2105,Sarmiento,8,1,95,98,Decapoda,DECA,visual,DECA,,,SG2105_ORG95_MOC8_NET1,,,17,3.382,,,,,,,Y,not retained,Used for resipirometry. Some legs missing. ID NOTES: Maybe Acanthephyra sp.,20210810,JC
SG2105,Sarmiento,8,1,96,98,Acanthephyra sp.,ANSP,visual,ANSP,,L,SG2105_ORG96_MOC8_NET1,,,19,5.3936,,,,,,,Y,not retained,Used for resipirometry. ,20210810,JC
SG2105,Sarmiento,8,3,97,108,Robustosergia robusta,RORO,visual,RORO,,L,SG2105_ORG97_MOC8_NET3,,,26,5.8773,,,,,,,Y,not retained,Used for resipirometry. ,20210810,JC
SG2105,Sarmiento,8,3,98,108,Decapoda,DECA,visual,DECA,,,SG2105_ORG98_MOC8_NET3,,,11,1.4979,,,,,,,Y,not retained,Used for resipirometry. ,20210810,JC
SG2105,Sarmiento,8,3,99,108,Decapoda,DECA,visual,DECA,,,SG2105_ORG99_MOC8_NET3,,,14,1.8206,,,,,,,Y,not retained,Used for resipirometry. ,20210811,JC
SG2105,Sarmiento,8,3,100,108,Decapoda,DECA,visual,DECA,,,SG2105_ORG100_MOC8_NET3,,,18,2.396,,,,,,,Y,not retained,Used for resipirometry. ,20210811,JC
SG2105,Sarmiento,8,3,101,108,Decapoda,DECA,visual,DECA,,,SG2105_ORG101_MOC8_NET3,,,12,1.3581,,,,,,,Y,not retained,Used for resipirometry. ,20210811,JC
SG2105,Sarmiento,8,3,102,108,Acanthephyra sp.,ANSP,visual,ANSP,,M,SG2105_ORG102_MOC8_NET3,,,15,2.0469,,,,,,,Y,not retained,Used for resipirometry. ,20210811,JC
SG2105,Sarmiento,8,3,103,108,Acanthephyra sp.,ANSP,visual,ANSP,,M,SG2105_ORG103_MOC8_NET3,,,15,3.406,,,,,,,Y,not retained,Used for resipirometry. ,20210811,JC
SG2105,Sarmiento,4,2,104,61,Decapoda,DECA,visual,DECA,,,SG2105_ORG104_MOC4_NET2,,,9,0.8584,,,,,,,Y,not retained,Used for resipirometry. ,20210811,JC
SG2105,Sarmiento,1,1,105,1,Benthosema glaciale,BEGL,visual,BEGL,,H,SG2105_ORG105_MOC1_NET1,26,,23,0.1452,,,,,,,,neg80,All fish in packet 1 broken (in freezing) and thawed to separate. Original fish_no=1,20210820,LSL
SG2105,Sarmiento,1,1,106,1,Benthosema glaciale,BEGL,visual,BEGL,,H,SG2105_ORG106_MOC1_NET1,,,25,0.1597,,,,,,,,neg80,Thawed to separate. Original fish_no=2,20210820,LSL
SG2105,Sarmiento,1,1,107,1,Benthosema glaciale,BEGL,visual,BEGL,,M,SG2105_ORG107-110_MOC1_NET1,,,25,0.1757,,,,,,,,neg80,All fish in packet 1 broken (in freezing) and thawed to separate; pretty confident body parts matched correctly. Standard length and weight are estimates. Fish 107-110 in foil together (labeled 3-6). Original fish_no=3,20210820,LSL
SG2105,Sarmiento,1,1,108,1,Benthosema glaciale,BEGL,visual,BEGL,,M,SG2105_ORG107-110_MOC1_NET1,,,26,0.1866,,,,,,,,neg80,All fish in packet 1 broken (in freezing) and thawed to separate; pretty confident body parts matched correctly. Standard length and weight are estimates. Fish 107-110 in foil together (labeled 3-6). Original fish_no=4,20210820,LSL
SG2105,Sarmiento,1,1,109,1,Benthosema glaciale,BEGL,visual,BEGL,,M,SG2105_ORG107-110_MOC1_NET1,,,25,0.1722,,,,,,,,neg80,All fish in packet 1 broken (in freezing) and thawed to separate; pretty confident body parts matched correctly. Standard length and weight are estimates. Fish 107-110 in foil together (labeled 3-6). Original fish_no=5,20210820,LSL
SG2105,Sarmiento,1,1,110,1,Benthosema glaciale,BEGL,visual,BEGL,,M,SG2105_ORG107-110_MOC1_NET1,,,25,0.1756,,,,,,,,neg80,All fish in packet 1 broken (in freezing) and thawed to separate; pretty confident body parts matched correctly. Standard length and weight are estimates. Fish 107-110 in foil together (labeled 3-6). Original fish_no=6,20210820,LSL
SG2105,Sarmiento,1,1,111,1,Myctophum punctatum,MYPU,visual,MYPU,,H,SG2105_ORG111_MOC1_NET1,26,24,22,0.0856,,,,,,,,neg80,Original fish_no=7,20210820,LSL
SG2105,Sarmiento,1,0,112,8,Benthosema glaciale,BEGL,visual,BEGL,,H,SG2105_ORG112-113_MOC1_NET0,25,24,21,0.09,,,,,,,,neg80,Body roughed up and tail broken. Original fish_no=8,20210820,LSL
SG2105,Sarmiento,1,0,113,8,Benthosema glaciale,BEGL,visual,BEGL,,H,SG2105_ORG112-113_MOC1_NET0,,,23,0.1389,,,,,,,,neg80,Original fish_no=9,20210820,LSL
SG2105,Sarmiento,1,3,114,6,Benthosema glaciale,BEGL,visual,BEGL,,M,SG2105_ORG114_MOC1_NET3,30,,25,0.1768,,,,,,,,neg80,Original fish_no=10,20210820,LSL
