Epoch,"Trap type (1=NBST, 2=STT)",Platform,Depth_nominal_m,Depth actual (m),"Trap rep (0=first trap deployed at target depth, 1=second trap deployed at target depth)",R2R event,Date deploy (UTC),Date lids (UTC),Date resurface (UTC),Date recover (UTC),Lat deploy,Lon deploy,Lat lids,Lon lids,Lat resurface,Lon resurface,Lat recover,Lon recover,Split,C_flux_mmolC_m2_d,C_flux_uncertainty,PIC flux (mmol-PIC/m2/d),PIC flux uncertainty,POC flux (mmol-POC/m2/d),POC flux uncertainty,N flux (mmol-N/m2/d),N flux uncertainty,bSi flux (mmol-bSi/m2/d),bSi flux uncertainty,Mass flux (mg/m2/d),Mass flux uncertainty,234Th_flux_dpm_m2_d,234Th_flux_uncertainty,"Burnwire flag (0=burnwire functional, 3=burnwire failure, lids open until recovery)",Deployment notes
2,2,STT 4,330,330,0,20210513.0913.001,5/12/21 23:11,5/15/21 18:00,5/16/21 17:31,5/16/21 17:45,49.138361,-14.794922,,,--,--,48.96311,-14.815173,mean,3.05,1.97,0.41,0.12,2.6,2,0.16,0.26,0.526,0.036,123,16,710,65,0,Extra formalin+gel VERTEX tube
2,2,STT 5,500,500,0,20210513.0913.001,5/12/21 23:11,5/15/21 18:00,5/16/21 17:45,5/16/21 17:45,49.138361,-14.794922,,,--,--,48.96311,-14.815173,mean,3.59,1.19,0.45,0.09,3.1,1.2,0.42,0.17,0.464,0.063,161,24,622,15,3,Burnwire failure.  Extra formalin+gel VERTEX tube
3,1,NBST 20,105,109,0,20210523.0845.001,5/23/21 1:00,5/24/21 16:00,5/24/21 17:08,5/24/21 21:40,48.883723,-14.770284,,,48.81285,-14.653957,48.788514,-14.730548,mean,23.94,2.76,1.56,0.1,22.4,2.8,2.76,0.4,5.801,0.454,1052,40,4689,633,0,Brief resurfacing (0.13 d) at start of deployment
3,1,NBST 307A,145,143,0,20210523.0843.001,5/22/21 23:40,5/24/21 15:00,5/24/21 17:15,5/24/21 21:15,48.88416,-14.769467,,,48.81229,-14.66546,48.789813,-14.738694,mean,19.77,1.52,1.65,0.09,18.1,1.5,2.17,0.25,NA,NA,NA,NA,5313,635,3,"Lid open at recovery, so reported separately from ""B"" tube.  However, fluxes were similar so in some cases it may be OK to average the values.  Mass/bSi flux for < 335 um fraction only available upon request."
3,1,NBST 307B,145,143,0,20210523.0843.001,5/22/21 23:40,5/24/21 15:00,5/24/21 17:15,5/24/21 21:15,48.88416,-14.769467,,,48.81229,-14.66546,48.789813,-14.738694,mean,29.41,2.28,2.26,0.56,27.2,2.3,3.14,0.42,8.248,0.79,1508,213,7475,455,0,"Lid closed at recovery, so reported separately from ""A"" tube.  However, fluxes were similar so in some cases it may be OK to average the values.  "
3,2,STT 1,95,95,0,20210523.0836.001,5/22/21 22:24,5/24/21 18:00,5/24/21 22:36,5/24/21 22:36,48.886739,-14.756997,,,--,--,48.806024,-14.730061,mean,6.98,1.51,0.49,0.05,6.5,1.5,0.54,0.3,1.714,0.074,336,28,1631,96,0,"Amount collected by all tubes was low compared to deeper depths on the array.  Trap may have been in mixed layer or subject to hydrodynamic influences, treat with caution."
3,2,STT 2,145,145,0,20210523.0836.001,5/22/21 22:24,5/24/21 18:00,5/24/21 22:46,5/24/21 22:46,48.886739,-14.756997,,,--,--,48.806024,-14.730061,mean,12.2,1.33,1.95,0.75,10.3,1.5,1.95,1.54,4.856,0.139,917,56,4944,262,0,
3,2,STT 3,195,195,0,20210523.0836.001,5/22/21 22:24,5/24/21 18:00,5/24/21 22:55,5/24/21 22:55,48.886739,-14.756997,,,--,--,48.806024,-14.730061,mean,14.74,1.48,1.58,0.07,13.2,1.5,1.72,0.56,4.301,0.067,739,25,4482,57,0,
3,2,STT 4,330,330,0,20210523.0836.001,5/22/21 22:24,5/24/21 18:00,5/24/21 23:09,5/24/21 23:09,48.886739,-14.756997,,,--,--,48.806024,-14.730061,mean,7.17,1.63,0.96,0.11,6.2,1.6,0.55,0.26,2.797,0.017,495,51,3042,57,0,
3,2,STT 5,500,500,0,20210523.0836.001,5/22/21 22:24,5/24/21 18:00,5/24/21 23:22,5/24/21 23:22,48.886739,-14.756997,,,--,--,48.806024,-14.730061,mean,3.48,1.44,0.36,0.29,3.1,1.5,0.69,0.98,1.392,0.045,253,25,1432,168,0,
3,1,NBST 302,195,199,0,20210523.0842.001,5/23/21 12:30,5/25/21 15:00,5/25/21 16:56,5/25/21 20:23,48.884322,-14.769143,,,48.92381,-14.67904,48.917225,-14.633554,mean,24.75,1.65,3.24,0.5,21.5,1.7,2.55,0.19,6.924,0.749,1500,101,7553,342,0,Resurfaced for approx 9 h prior to reaching target depth.  9h = 0.38d
3,1,NBST 305,330,330,0,20210523.0841.001,5/23/21 5:31,5/25/21 14:00,5/25/21 16:34,5/25/21 21:55,48.884501,-14.768947,,,48.8119,-14.85308,48.806046,-14.726118,mean,16.67,1.12,1.79,0.4,14.9,1.2,2.78,1.51,6.014,0.058,1041,42,5401,317,0,Gel tube lid open at recovery (fouled on cage)
3,1,NBST 304,500,502,0,20210523.0840.001,5/23/21 3:21,5/25/21 21:20,5/25/21 16:02,5/25/21 21:20,48.884617,-14.768558,,,48.84679,-14.81525,48.857812,-14.736414,mean,8.46,1.57,0.68,0.15,7.8,1.6,0.87,0.25,2.217,0.156,412,10,1931,244,3,"Burnwire failure.  Trap spent 0.22 d open at surface after resurfacing, but the brine layer was intact"
